symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2024-07-01 19:20:00+00:00,215.76,215.83,215.57,215.61,87978.0,982.0,215.695794
AAPL,2024-07-01 19:21:00+00:00,215.61,215.64,215.51,215.56,69768.0,838.0,215.573947
AAPL,2024-07-01 19:22:00+00:00,215.565,215.71,215.5497,215.56,70057.0,828.0,215.607731
AAPL,2024-07-01 19:23:00+00:00,215.545,215.69,215.51,215.67,62218.0,770.0,215.595251
AAPL,2024-07-01 19:24:00+00:00,215.67,215.71,215.56,215.56,61409.0,794.0,215.662005
AAPL,2024-07-01 19:25:00+00:00,215.57,215.57,215.312,215.33,112595.0,1373.0,215.449786
AAPL,2024-07-01 19:26:00+00:00,215.33,215.42,215.175,215.18,112000.0,1235.0,215.322273
AAPL,2024-07-01 19:27:00+00:00,215.17,215.395,215.14,215.395,112157.0,1304.0,215.288774
AAPL,2024-07-01 19:28:00+00:00,215.39,215.5217,215.39,215.445,79449.0,1095.0,215.465132
AAPL,2024-07-01 19:29:00+00:00,215.445,215.58,215.445,215.54,58160.0,791.0,215.527415
AAPL,2024-07-01 19:30:00+00:00,215.53,215.61,215.46,215.585,92075.0,1213.0,215.548022
AAPL,2024-07-01 19:31:00+00:00,215.59,215.63,215.465,215.53,92802.0,1127.0,215.548427
AAPL,2024-07-01 19:32:00+00:00,215.53,215.68,215.53,215.61,94454.0,1034.0,215.619331
AAPL,2024-07-01 19:33:00+00:00,215.595,215.75,215.595,215.6811,77910.0,1005.0,215.673823
AAPL,2024-07-01 19:34:00+00:00,215.69,215.87,215.69,215.79,83049.0,1041.0,215.800929
AAPL,2024-07-01 19:35:00+00:00,215.79,216.01,215.79,215.94,96444.0,1105.0,215.922007
AAPL,2024-07-01 19:36:00+00:00,215.945,215.95,215.8,215.805,91758.0,933.0,215.85913
AAPL,2024-07-01 19:37:00+00:00,215.8,215.86,215.75,215.86,54470.0,728.0,215.823158
AAPL,2024-07-01 19:38:00+00:00,215.855,216.01,215.8539,215.98,84138.0,924.0,215.931777
AAPL,2024-07-01 19:39:00+00:00,215.98,216.03,215.925,216.03,82861.0,1032.0,215.96752
AAPL,2024-07-01 19:40:00+00:00,216.025,216.09,215.91,215.98,108497.0,1178.0,215.989075
AAPL,2024-07-01 19:41:00+00:00,215.96,216.05,215.96,215.9915,70380.0,878.0,216.003297
AAPL,2024-07-01 19:42:00+00:00,215.995,216.015,215.96,215.975,57717.0,773.0,215.990504
AAPL,2024-07-01 19:43:00+00:00,215.97,216.04,215.94,216.02,70987.0,901.0,215.979619
AAPL,2024-07-01 19:44:00+00:00,216.01,216.04,215.945,216.0035,75715.0,931.0,215.996744
AAPL,2024-07-01 19:45:00+00:00,216.005,216.1,215.9514,215.9514,162660.0,1433.0,216.037061
AAPL,2024-07-01 19:46:00+00:00,215.95,216.06,215.8401,216.0201,120579.0,1314.0,215.924513
AAPL,2024-07-01 19:47:00+00:00,216.035,216.18,216.0,216.1603,122509.0,1420.0,216.109819
AAPL,2024-07-01 19:48:00+00:00,216.16,216.34,216.16,216.25,161855.0,1723.0,216.2693
AAPL,2024-07-01 19:49:00+00:00,216.245,216.26,216.02,216.0699,92662.0,1412.0,216.149846
AAPL,2024-07-01 19:50:00+00:00,216.08,216.47,216.08,216.3692,195902.0,2385.0,216.301766
AAPL,2024-07-01 19:51:00+00:00,216.37,216.48,216.34,216.44,149525.0,1956.0,216.41192
AAPL,2024-07-01 19:52:00+00:00,216.4368,216.44,216.29,216.4,126717.0,1739.0,216.337381
AAPL,2024-07-01 19:53:00+00:00,216.4,216.425,216.135,216.19,172301.0,1945.0,216.238755
AAPL,2024-07-01 19:54:00+00:00,216.2,216.615,216.1795,216.5951,283281.0,3051.0,216.429662
AAPL,2024-07-01 19:55:00+00:00,216.61,217.0,216.6,216.95,457226.0,4782.0,216.828224
AAPL,2024-07-01 19:56:00+00:00,216.955,217.0,216.8018,216.86,334838.0,3143.0,216.931084
AAPL,2024-07-01 19:57:00+00:00,216.86,216.97,216.85,216.9395,337099.0,3028.0,216.914077
AAPL,2024-07-01 19:58:00+00:00,216.94,216.94,216.68,216.77,518011.0,4505.0,216.815532
AAPL,2024-07-01 19:59:00+00:00,216.775,216.85,216.57,216.73,957572.0,8070.0,216.762591
AAPL,2024-07-01 20:00:00+00:00,216.75,217.35,216.62,217.35,6543170.0,561.0,216.751388
AAPL,2024-07-01 20:01:00+00:00,217.36,217.36,216.77,217.0,39780.0,346.0,217.105027
AAPL,2024-07-01 20:02:00+00:00,216.84,216.99,216.75,216.86,138578.0,134.0,216.756835
AAPL,2024-07-01 20:03:00+00:00,216.92,216.92,216.75,216.85,502514.0,159.0,216.752516
AAPL,2024-07-01 20:04:00+00:00,216.88,217.22,216.75,216.75,15128.0,158.0,217.006624
AAPL,2024-07-01 20:05:00+00:00,217.02,217.02,216.93,216.93,8261.0,98.0,216.985752
AAPL,2024-07-01 20:06:00+00:00,216.99,216.99,216.97,216.97,1193.0,51.0,216.983333
AAPL,2024-07-01 20:07:00+00:00,216.92,216.92,216.92,216.92,1113.0,58.0,216.92
AAPL,2024-07-01 20:08:00+00:00,216.91,217.0,216.91,217.0,2092.0,53.0,216.946798
AAPL,2024-07-01 20:09:00+00:00,216.94,216.95,216.94,216.95,2449.0,44.0,216.941027
AAPL,2024-07-01 20:10:00+00:00,216.99,217.01,216.99,216.99,4215.0,95.0,216.995898
AAPL,2024-07-01 20:11:00+00:00,217.01,217.01,216.94,216.94,4265.0,57.0,216.950521
AAPL,2024-07-01 20:12:00+00:00,216.94,216.98,216.94,216.95,3008.0,54.0,216.95048
AAPL,2024-07-01 20:13:00+00:00,216.94,216.96,216.94,216.95,6927.0,49.0,216.941901
AAPL,2024-07-01 20:14:00+00:00,216.96,216.99,216.94,216.94,3171.0,64.0,216.947306
AAPL,2024-07-01 20:15:00+00:00,216.95,216.95,216.83,216.93,5340.0,77.0,216.914832
AAPL,2024-07-01 20:16:00+00:00,216.94,216.95,216.88,216.9,3661.0,52.0,216.90162
AAPL,2024-07-01 20:18:00+00:00,216.85,216.85,216.83,216.83,581.0,26.0,216.841111
AAPL,2024-07-01 20:19:00+00:00,216.88,216.94,216.88,216.94,1968.0,57.0,216.890586
AAPL,2024-07-01 20:20:00+00:00,216.9,217.0,216.75,216.92,107301.0,52.0,216.754446
AAPL,2024-07-01 20:21:00+00:00,216.92,217.0,216.84,216.84,1383.0,34.0,216.915701
AAPL,2024-07-01 20:22:00+00:00,216.97,216.97,216.97,216.97,433.0,20.0,216.97
AAPL,2024-07-01 20:23:00+00:00,216.87,216.91,216.87,216.91,1047.0,42.0,216.882953
AAPL,2024-07-01 20:24:00+00:00,216.94,217.0,216.94,216.99,2513.0,50.0,216.985766
AAPL,2024-07-01 20:25:00+00:00,216.9116,216.99,216.91,216.99,1608.0,32.0,216.927853
AAPL,2024-07-01 20:26:00+00:00,216.97,216.97,216.97,216.97,766.0,42.0,216.97
AAPL,2024-07-01 20:27:00+00:00,216.97,216.99,216.91,216.91,2267.0,69.0,216.953158
AAPL,2024-07-01 20:28:00+00:00,216.94,216.94,216.94,216.94,286.0,34.0,216.94
AAPL,2024-07-01 20:29:00+00:00,216.9201,216.9201,216.9,216.92,1152.0,44.0,216.914982
AAPL,2024-07-01 20:30:00+00:00,216.89,216.89,216.89,216.89,369.0,23.0,216.89
AAPL,2024-07-01 20:31:00+00:00,216.89,216.8908,216.89,216.89,834.0,36.0,216.890133
AAPL,2024-07-01 20:32:00+00:00,216.87,216.89,216.87,216.87,712.0,27.0,216.874
AAPL,2024-07-01 20:33:00+00:00,216.87,216.87,216.8698,216.8698,1001.0,33.0,216.869971
AAPL,2024-07-01 20:34:00+00:00,216.87,216.87,216.86,216.86,1250.0,38.0,216.86697
AAPL,2024-07-01 20:35:00+00:00,216.86,216.87,216.86,216.87,3326.0,42.0,216.864651
AAPL,2024-07-01 20:36:00+00:00,216.8603,216.87,216.83,216.83,1778.0,26.0,216.861894
AAPL,2024-07-01 20:38:00+00:00,216.87,216.99,216.87,216.99,13223.0,82.0,216.921953
AAPL,2024-07-01 20:39:00+00:00,216.9899,216.99,216.96,216.96,6419.0,41.0,216.982538
AAPL,2024-07-01 20:40:00+00:00,216.96,216.99,216.96,216.98,715.0,31.0,216.97506
AAPL,2024-07-01 20:41:00+00:00,216.98,216.98,216.95,216.95,1064.0,32.0,216.96585
AAPL,2024-07-01 20:43:00+00:00,216.97,216.98,216.97,216.98,295.0,26.0,216.974673
AAPL,2024-07-01 20:44:00+00:00,216.98,217.0,216.98,217.0,6658.0,105.0,216.998966
AAPL,2024-07-01 20:45:00+00:00,217.0183,217.0288,217.01,217.01,2088.0,29.0,217.02539
AAPL,2024-07-01 20:46:00+00:00,217.0,217.11,216.88,217.11,9824.0,152.0,217.014656
AAPL,2024-07-01 20:47:00+00:00,217.09,217.11,217.07,217.09,4907.0,66.0,217.095399
AAPL,2024-07-01 20:48:00+00:00,217.1,217.1,217.06,217.07,1122.0,46.0,217.080352
AAPL,2024-07-01 20:49:00+00:00,217.07,217.08,217.02,217.08,1254.0,48.0,217.064444
AAPL,2024-07-01 20:50:00+00:00,217.01,217.08,217.0,217.06,3916.0,75.0,217.037037
AAPL,2024-07-01 20:51:00+00:00,217.01,217.06,217.01,217.05,1025.0,51.0,217.048
AAPL,2024-07-01 20:52:00+00:00,217.08,217.08,216.94,217.02,2693.0,60.0,217.055495
AAPL,2024-07-01 20:53:00+00:00,216.95,217.07,216.92,217.05,5954.0,88.0,216.974035
AAPL,2024-07-01 20:54:00+00:00,217.02,217.0299,216.98,216.98,3010.0,47.0,217.010469
AAPL,2024-07-01 20:56:00+00:00,217.0,217.0,217.0,217.0,427.0,47.0,217.0
AAPL,2024-07-01 20:57:00+00:00,217.02,217.02,216.76,216.82,7935.0,89.0,216.864076
AAPL,2024-07-01 20:58:00+00:00,216.76,216.9,216.76,216.83,1911.0,49.0,216.845679
AAPL,2024-07-01 20:59:00+00:00,216.82,216.97,216.82,216.95,2717.0,62.0,216.903571
AAPL,2024-07-01 21:00:00+00:00,216.93,216.93,216.93,216.93,471.0,17.0,216.93
AAPL,2024-07-01 21:01:00+00:00,216.93,216.93,216.93,216.93,224.0,16.0,216.93
AAPL,2024-07-01 21:03:00+00:00,216.93,216.93,216.93,216.93,777.0,28.0,216.93
AAPL,2024-07-01 21:05:00+00:00,216.92,216.9398,216.92,216.9398,1245.0,47.0,216.9222
AAPL,2024-07-01 21:06:00+00:00,216.94,216.94,216.92,216.93,933.0,33.0,216.926025
AAPL,2024-07-01 21:07:00+00:00,216.9201,216.93,216.9201,216.93,537.0,23.0,216.927525
AAPL,2024-07-01 21:09:00+00:00,216.75,216.92,216.75,216.92,105753.0,21.0,216.750161
AAPL,2024-07-01 21:10:00+00:00,216.9151,216.9151,216.9151,216.9151,289.0,28.0,216.9151
AAPL,2024-07-01 21:12:00+00:00,216.91,216.9899,216.88,216.9899,2518.0,79.0,216.92567
AAPL,2024-07-01 21:13:00+00:00,216.92,216.92,216.92,216.92,445.0,15.0,216.92
AAPL,2024-07-01 21:14:00+00:00,216.94,216.94,216.94,216.94,344.0,15.0,216.94
AAPL,2024-07-01 21:15:00+00:00,216.96,216.96,216.96,216.96,510.0,33.0,216.96
AAPL,2024-07-01 21:16:00+00:00,217.0,217.02,217.0,217.02,2348.0,69.0,217.005371
AAPL,2024-07-01 21:17:00+00:00,217.02,217.07,217.02,217.04,904.0,44.0,217.0348
AAPL,2024-07-01 21:18:00+00:00,217.04,217.0989,216.75,217.0989,3197.0,40.0,217.044148
AAPL,2024-07-01 21:21:00+00:00,217.09,217.1,217.09,217.09,1958.0,43.0,217.091432
AAPL,2024-07-01 21:22:00+00:00,217.1,217.1,216.75,217.1,20084.0,47.0,216.761567
AAPL,2024-07-01 21:23:00+00:00,217.06,217.08,217.06,217.06,1038.0,25.0,217.066234
AAPL,2024-07-01 21:24:00+00:00,217.05,217.09,217.04,217.04,1935.0,32.0,217.057036
AAPL,2024-07-01 21:25:00+00:00,217.07,217.07,217.07,217.07,1436.0,16.0,217.07
AAPL,2024-07-01 21:26:00+00:00,217.03,217.0494,217.03,217.04,839.0,29.0,217.038402
AAPL,2024-07-01 21:27:00+00:00,217.02,217.06,217.02,217.06,1299.0,30.0,217.055951
AAPL,2024-07-01 21:28:00+00:00,217.05,217.05,217.038,217.04,736.0,20.0,217.046333
AAPL,2024-07-01 21:30:00+00:00,217.03,217.06,217.03,217.03,1525.0,33.0,217.03826
AAPL,2024-07-01 21:31:00+00:00,217.06,217.06,217.02,217.02,726.0,28.0,217.048235
AAPL,2024-07-01 21:36:00+00:00,217.07,217.07,217.07,217.07,251.0,20.0,217.07
AAPL,2024-07-01 21:38:00+00:00,217.0506,217.0506,217.05,217.05,1565.0,29.0,217.05017
AAPL,2024-07-01 21:39:00+00:00,217.02,217.02,217.0,217.02,3417.0,84.0,217.005448
AAPL,2024-07-01 21:40:00+00:00,216.93,216.93,216.9,216.93,1945.0,53.0,216.922074
AAPL,2024-07-01 21:41:00+00:00,216.96,217.07,216.96,217.07,2188.0,76.0,217.027985
AAPL,2024-07-01 21:42:00+00:00,217.02,217.02,217.02,217.02,184.0,16.0,217.02
AAPL,2024-07-01 21:44:00+00:00,217.02,217.02,217.02,217.02,148.0,17.0,217.02
AAPL,2024-07-01 21:45:00+00:00,217.0245,217.06,217.0245,217.06,345.0,12.0,217.04225
AAPL,2024-07-01 21:46:00+00:00,217.07,217.07,217.07,217.07,563.0,18.0,217.07
AAPL,2024-07-01 21:47:00+00:00,217.02,217.02,217.02,217.02,1608.0,22.0,217.02
